水位Z/m,库容V/万m3
36.0,4330.0
36.1,4330.0
36.2,4330.0
36.3,4800.0
36.4,4800.0
36.5,4800.0
36.6,4800.0
36.7,4800.0
36.8,5300.0
36.9,5300.0
37.0,5300.0
37.1,5300.0
37.2,5300.0
37.3,5870.0
37.4,5870.0
37.5,5870.0
37.6,5870.0
37.7,5870.0
37.8,6450.0
37.9,6450.0
38.0,6450.0
38.1,6450.0
38.2,6450.0
38.3,7080.0
38.4,7080.0
38.5,7080.0
38.6,7080.0
38.7,7080.0
38.8,7760.0
38.9,7760.0
39.0,7760.0
39.1,7760.0
39.2,7760.0
39.3,8540.0
39.4,8540.0
39.5,8540.0
39.6,8540.0
39.7,8540.0
39.8,9420.0
39.9,9420.0
40.0,9420.0
40.1,9420.0
40.2,9420.0
40.3,10250.0
40.4,10250.0
40.5,10250.0
40.6,10250.0
40.7,10250.0
40.8,11200.0
40.9,11200.0
41.0,11200.0
41.1,11200.0
