时间t/h,入库流量Q/(m³·s⁻¹),下泄流量q/(m³·s⁻¹),水库存水量V/万m³,水库水位Z/m
18,174,173.9,6450.0,38.0
21,340,186.20700922382767,6532.924233272847,38.06581288354988
24,850,246.5740614269626,6940.953319343941,38.38964549154281
27,1920,427.3984870861358,8070.095707912432,39.19877929994387
30,1450,623.1948510960531,9319.120211419906,39.94268193830676
33,1110,735.8188257024084,9966.499154799996,40.329216358313246
36,900,782.7420407901021,10231.040094257034,40.48857837003436
39,760,790.7429577714774,10277.567561768145,40.51450924303587
42,610,772.5378146691752,10173.424395751132,40.453870117922364
45,460,731.1021454949511,9939.957835666506,40.31322761184729
48,360,675.1144121682482,9624.345505760313,40.12309970226525
51,290,617.0523813318946,9279.664931182979,39.92026416544487
