水位Z/m,下泄流量q/(m3·s)
36.0,0.0
36.1,4.5
36.2,9.0
36.3,13.5
36.4,18.0
36.5,22.5
36.6,29.0
36.7,35.5
36.8,42.0
36.9,48.5
37.0,55.0
37.1,65.0
37.2,75.0
37.3,85.0
37.4,95.0
37.5,105.0
37.6,118.8
37.7,132.6
37.8,146.3
37.9,160.1
38.0,173.9
38.1,192.6
38.2,211.2
38.3,229.9
38.4,248.5
38.5,267.2
38.6,289.4
38.7,311.6
38.8,333.9
38.9,356.1
39.0,378.3
39.1,403.0
39.2,427.7
39.3,452.5
39.4,477.2
39.5,501.9
39.6,529.3
39.7,556.7
39.8,584.1
39.9,611.5
40.0,638.9
40.1,668.3
40.2,697.8
40.3,727.2
40.4,756.7
40.5,786.1
40.6,818.1
40.7,850.1
40.8,882.0
40.9,914.0
41.0,946.0
41.1,978.0
